,Unnamed: 0,id,description,year,dateBegan,daterestoration,respondent,geographicAreas,NERCRegion,tags,beginTime,restorationTime,numCustomersAffected,demandLoss
41,41,41,Severe Weather,2014,4/12/2014,4/15/2014,Detroit Edison Company,Michigan,RFC,severe weather,20:00:00,19:30:00,164000.0,
42,42,42,Severe Weather,2014,4/12/2014,4/14/2014,Consumers Energy,Michigan,RFC,"severe weather, thunderstorm",18:15:00,09:00:00,50000.0,
43,43,43,Physical Attack,2014,4/8/2014,4/8/2014,"Western Area Power Administration, Sierra Nevada Region",California,WECC,"vandalism, physical",13:00:00,13:01:00,,
44,44,44,Voltage Reduction,2014,4/8/2014,4/8/2014,Puerto Rico Electric Power Authority,Puerto Rico,PR,voltage reduction,11:09:00,11:20:00,,
45,45,45,Severe Weather,2014,4/4/2014,4/4/2014,"Entergy Services, Inc.",Arkansas,SERC,"severe weather, wind",03:30:00,08:15:00,57200.0,
46,46,46,Fuel Supply,2014,4/3/2014,Unknown,City of Garland / Texas Municipal Power Agency,Texas,TRE,"fuel supply emergency, coal",00:00:00,,,
47,47,47,Fuel Supply,2014,4/3/2014,4/9/2014,We Energies,Wisconsin,MRO,"fuel supply emergency, coal",14:45:00,11:53:00,,
48,48,48,Voltage Reduction,2014,3/31/2014,3/31/2014,Puerto Rico Electric Power Authority,Puerto Rico,PR,voltage reduction,15:41:00,20:08:00,,
49,49,49,Electrical System Separation,2014,3/26/2014,3/26/2014,Peak Reliability,Montana,WECC,islanding,13:37:00,14:33:00,,
50,50,50,Physical Attack,2014,3/26/2014,4/10/2014,ITC Midwest LLC,Iowa,MRO,"vandalism, physical",16:00:00,12:00:00,,
51,51,51,Physical Attack,2014,3/24/2014,3/24/2014,PacifiCorp,Utah,WECC,"vandalism, physical",11:07:00,11:08:00,,
52,52,52,Cyber Attack,2014,3/20/2014,3/20/2014,NRG Energy Inc 2,New York,NPCC,"vandalism, cyber",00:00:00,00:01:00,,
53,53,53,Physical Attack,2014,3/17/2014,3/18/2014,Arizona Public Service Co,Arizona,WECC,vandalism,17:25:00,00:56:00,,
54,54,54,Physical Attack,2014,3/14/2014,3/14/2014,ITC Holdings,Iowa,MRO,"vandalism, physical",12:34:00,16:45:00,,
55,55,55,Severe Weather,2014,3/12/2014,3/13/2014,Duke Energy Carolinas,North Carolina,SERC,"severe weather, wind",19:35:00,12:00:00,61377.0,250.0
56,56,56,Physical Attack,2014,3/11/2014,3/13/2014,ITC Midwest LLC,Iowa,MRO,"vandalism, physical",00:00:00,00:00:00,,
57,57,57,Severe Weather,2014,3/7/2014,3/7/2014,Duke Energy Carolinas,North Carolina,SERC,"severe weather, winter storm",03:30:00,21:00:00,370900.0,1500.0
58,58,58,Physical Attack,2014,3/5/2014,3/5/2014,PacifiCorp,Utah,WECC,"vandalism, physical",17:06:00,17:07:00,,
59,59,59,Fuel Supply,2014,3/4/2014,3/17/2014,Wisconsin Public Service Corp,Wisconsin,MRO,"fuel supply emergency, coal",09:06:00,09:06:00,,
60,60,60,Physical Attack,2014,3/3/2014,3/3/2014,"Orange and Rockland Utilities, Inc.",New York,NPCC,"vandalism, physical",17:25:00,17:25:00,,
61,61,61,Severe Weather,2014,3/3/2014,3/3/2014,Tennessee Valley Authority,Tennessee,SERC,"severe weather, winter storm",06:40:00,15:28:00,65904.0,
62,62,62,Fuel Supply,2014,3/3/2014,3/3/2014,Public Utility District #1 of Chelan County (CHPD),Washington,WECC,"fuel supply emergency, hydro",01:48:00,01:49:00,,630.0
63,63,63,Severe Weather,2014,3/2/2014,3/4/2014,ERCOT,Texas,TRE,"severe weather, cold",19:00:00,09:00:00,,
64,64,64,Severe Weather,2014,2/21/2014,2/21/2014,Southern Company,Georgia,SERC,"severe weather, thunderstorm, wind",02:53:00,21:00:00,66445.0,221.0
65,65,65,Severe Weather,2014,2/20/2014,2/21/2014,Ameren Missouri,Illinois,SERC,"severe weather, winter storm",16:40:00,23:59:00,66000.0,
66,66,66,Physical Attack,2014,2/18/2014,2/18/2014,PacifiCorp,Oregon,WECC,"vandalism, physical",18:43:00,18:44:00,,
67,67,67,Physical Attack,2014,2/14/2014,2/14/2014,PacifiCorp,Oregon,WECC,"vandalism, physical",13:00:00,15:00:00,,
68,68,68,Severe Weather,2014,2/12/2014,2/15/2014,Duke Energy Progress,North Carolina,SERC,"severe weather, winter storm",12:10:00,15:20:00,200000.0,
69,69,69,Physical Attack,2014,2/12/2014,2/12/2014,ISO New England,Vermont,NPCC,"vandalism, physical",14:15:00,14:16:00,,
70,70,70,Severe Weather,2014,2/12/2014,2/15/2014,South Carolina Electric and Gas,North Carolina,SERC,"severe weather, winter storm",11:03:00,08:40:00,120124.0,700.0
71,71,71,Severe Weather,2014,2/12/2014,2/15/2014,Southern Company,Georgia,SERC,"severe weather, winter storm",07:48:00,04:30:00,373835.0,1246.0
72,72,72,Public Appeal,2014,2/7/2014,2/7/2014,American Electric Power,Texas,TRE,public appeal,16:50:00,20:30:00,,
73,73,73,Public Appeal,2014,2/7/2014,2/8/2014,ERCOT,Texas,TRE,public appeal,16:30:00,09:00:00,,
74,74,74,Fuel Supply,2014,2/7/2014,3/21/2014,"Somerset Operating Company, LLC",New York,NPCC,"fuel supply emergency, coal",07:00:00,08:00:00,,675.0
75,75,75,Fuel Supply,2014,2/6/2014,2/6/2014,California ISO,California,WECC,"fuel supply emergency, natural gas",13:00:00,22:00:00,,4000.0
76,76,76,Public Appeal,2014,2/6/2014,2/6/2014,American Electric Power,Texas,TRE,public appeal,13:58:00,20:40:00,,
77,77,77,Fuel Supply,2014,2/6/2014,2/6/2014,Southern California Edison,California,WECC,"fuel supply emergency, natural gas",14:15:00,19:39:00,,611.0
78,78,78,Fuel Supply,2014,2/6/2014,2/6/2014,Pacific Gas & Electric Co,California,WECC,"fuel supply emergency, natural gas",13:05:00,19:15:00,,160.0
79,79,79,Public Appeal,2014,2/6/2014,2/7/2014,ERCOT,Texas,TRE,public appeal,15:35:00,11:30:00,,
80,80,80,Severe Weather,2014,2/5/2014,2/9/2014,FirstEnergy Corp: Met-Ed,Pennsylvania,RFC,"severe weather, winter storm",01:00:00,20:40:00,144000.0,
81,81,81,Severe Weather,2014,2/5/2014,2/9/2014,FirstEnergy Corp: Potomac Edison,West Virginia,RFC,"severe weather, winter storm",00:00:00,18:00:00,101580.0,
82,82,82,Severe Weather,2014,2/5/2014,2/5/2014,Baltimore Gas & Electric Company,Maryland,RFC,"severe weather, winter storm",08:05:00,08:06:00,181000.0,800.0
83,83,83,Fuel Supply,2014,2/5/2014,2/23/2014,Upstate New York Power Producers,New York,NPCC,"fuel supply emergency, coal",07:00:00,07:00:00,,300.0
84,84,84,Severe Weather,2014,2/5/2014,2/5/2014,Exelon Corporation/PECO,Pennsylvania,RFC,"severe weather, winter storm",05:00:00,05:01:00,715000.0,
85,85,85,Severe Weather,2014,2/5/2014,2/7/2014,PPL Electric Utilities Corp,Pennsylvania,RFC,"severe weather, winter storm",07:35:00,04:03:00,62159.0,
