id,description,year,dateBegan,daterestoration,respondent,geographicAreas,NERCRegion,tags,beginTime,restorationTime,numCustomersAffected,demandLoss
12,Severe Weather,2014,6/10/2014,6/11/2014,American Electric Power,West Virginia,RFC,"severe weather, thunderstorm",21:50:00,14:30:00,66383.0,
13,Electrical System Separation,2014,6/9/2014,6/9/2014,Peak Reliability,"Alberta, Canada",WECC,islanding,11:07:00,11:30:00,,
14,Severe Weather,2014,6/7/2014,6/8/2014,Southern Company,"North and Central , Alabama",SERC,"severe weather, thunderstorm",23:00:00,05:30:00,65000.0,217.0
15,Fuel Supply,2014,6/6/2014,Unknown,"Luminant Energy Company, LLC",Texas,ERCOT,"fuel supply emergency, coal",13:00:00,,,
16,Severe Weather,2014,6/5/2014,6/7/2014,Memphis Light Gas and Water Division,"Shelby County, Tennessee",SERC,"severe weather, thunderstorm",03:00:00,23:45:00,38500.0,494.0
17,Severe Weather,2014,6/5/2014,6/5/2014,Tennessee Valley Authority,West Tennessee,SERC,"severe weather, thunderstorm",13:06:00,13:07:00,56475.0,
18,Electrical System Separation,2014,6/3/2014,6/3/2014,Peak Reliability,"Alberta, Canada",WECC,islanding,15:32:00,15:59:00,,338.0
19,Physical Attack,2014,6/3/2014,6/3/2014,Lower Colorado River Authority,Texas,ERCOT,"vandalism, physical",01:38:00,01:43:00,,
20,Physical Attack,2014,5/27/2014,5/27/2014,Arizona Public Service Co,"Phoenix, Arizona",WECC,"vandalism, physical",11:00:00,16:53:00,,
21,Electrical System Separation,2014,5/26/2014,5/26/2014,Peak Reliability,"British Columbia & Alberta, Canada",WECC,islanding,12:31:00,13:18:00,,
22,Physical Attack,2014,5/23/2014,5/25/2014,Duke Energy Progress,North Carolina,SERC,"vandalism, physical",15:00:00,19:00:00,,
23,Physical Attack,2014,5/20/2014,5/20/2014,PacifiCorp,"Duchesne County, Utah",WECC,"vandalism, physical",07:01:00,07:02:00,,
24,Fire,2014,5/16/2014,5/16/2014,San Diego Gas & Electric Co,"San Diego & Orange Counties, California",WECC,"wild fire, public appeal",10:43:00,21:00:00,1400000.0,3900.0
25,Fire,2014,5/15/2014,Unknown,San Diego Gas & Electric Co,"San Diego & Orange Counties, California",WECC,"wild fire, public appeal",10:43:00,,1400000.0,3300.0
26,Physical Attack,2014,5/15/2014,5/15/2014,"Whiting Clean Energy, Inc.","Whiting, Indiana",RFC,"vandalism, physical",12:10:00,12:13:00,,
27,Fire,2014,5/14/2014,Unknown,San Diego Gas & Electric Company,"San Diego & Orange Counties, California",WECC,"wild fire, public appeal",15:34:00,,426.0,
28,Physical Attack,2014,5/12/2014,5/12/2014,PacifiCorp,"Layton, Utah",WECC,"vandalism, physical",13:14:00,13:15:00,,
29,Physical Attack,2014,5/11/2014,5/11/2014,Great River Energy,"MISO North, Minnesota",MRO,"vandalism, physical",18:38:00,18:39:00,,
